"N_total","T_total","predictor.type","outcome.type","sdX.within","sdX.between","g.00","g.01","g.10","sd.u0","sd.u1","sd.e","true_cluster_means","l2_g.10_bias","l3a_g.10_bias","l3a_g.01_bias","l4_g.10_bias","l4_g.01_bias","g.exchangeable2_g.10_bias","g.exchangeable3_g.10_bias","g.exchangeable3_g.01_bias","g.exchangeable4_g.10_bias","g.exchangeable4_g.01_bias","g.ar12_g.10_bias","g.ar13_g.10_bias","g.ar13_g.01_bias","g.ar14_g.10_bias","g.ar14_g.01_bias","g.independence2_g.10_bias","g.independence3_g.10_bias","g.independence3_g.01_bias","g.independence4_g.10_bias","g.independence4_g.01_bias","l1_success","l2_success","l3a_success","l4_success","g.independence1_success","g.exchangeable1_success","g.ar11_success","g.independence2_success","g.exchangeable2_success","g.ar12_success","g.independence3_success","g.ar13_success","g.independence4_success","g.exchangeable4_success","g.ar14_success"
200,20,"continuous","binary",1,1,0,0,1.5,0,0,1,FALSE,0.002,0.006,0.006,0.006,0.001,-0.42,0.002,0.003,0.002,0.001,-0.421,0.002,0.003,0.002,0.001,-0.421,0.002,0.003,0.002,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","continuous",1,1,0,0,1.5,0,0,1,FALSE,0.005,0.005,-0.001,0.005,-0.006,0.005,0.005,-0.001,0.005,-0.006,0.005,0.005,-0.001,0.005,-0.006,0.005,0.005,-0.001,0.005,-0.006,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","continuous",1,1,0,0,1.5,0,0,1,FALSE,-0.001,-0.001,-0.003,-0.001,-0.001,-0.001,-0.001,-0.003,-0.001,-0.001,-0.001,-0.001,-0.003,-0.001,-0.001,-0.001,-0.001,-0.003,-0.001,-0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","continuous",1,1,0,0,1.5,0,0,1,FALSE,0,0,-0.002,0,-0.002,0,0,-0.002,0,-0.002,0,0,-0.002,0,-0.002,0,0,-0.002,0,-0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","continuous",1,1,0,0,1.5,0,0,1,FALSE,-0.002,-0.002,-0.001,-0.002,0.001,-0.002,-0.002,-0.001,-0.002,0.001,-0.002,-0.002,-0.001,-0.002,0.001,-0.002,-0.002,-0.001,-0.002,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","continuous",1,1,0,0,1.5,0,0,1,FALSE,0.004,0.004,0.001,0.004,-0.003,0.004,0.004,0.001,0.004,-0.003,0.004,0.004,0.001,0.004,-0.003,0.004,0.004,0.001,0.004,-0.003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","continuous",1,1,0,0,1.5,0,0,1,FALSE,0,0,0.001,0,0.002,0,0,0.001,0,0.002,0,0,0.001,0,0.002,0,0,0.001,0,0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","binary",1,3,0,0,1.5,0,0,1,FALSE,0.119,0.047,0.03,0.047,-0.017,0.023,0.032,0.014,0.032,-0.018,0.026,0.032,0.014,0.032,-0.018,0.029,0.032,0.014,0.032,-0.018,0.997,0.971,0.998,0.998,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","binary",1,3,0,0,1.5,0,0,1,FALSE,0.091,0.014,0.016,0.014,0.002,-0.007,0.003,0.005,0.003,0.003,-0.005,0.002,0.005,0.002,0.003,-0.001,0.002,0.005,0.002,0.003,1,0.99,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","binary",1,3,0,0,1.5,0,0,1,FALSE,0.1,0.023,0.021,0.023,-0.002,0.008,0.015,0.013,0.015,-0.002,0.016,0.015,0.013,0.015,-0.002,0.022,0.015,0.013,0.015,-0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","binary",1,3,0,0,1.5,0,0,1,FALSE,0.096,0.018,0.002,0.018,-0.016,0.005,0.012,-0.004,0.012,-0.016,0.014,0.012,-0.004,0.012,-0.016,0.018,0.012,-0.004,0.012,-0.016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","binary",1,3,0,0,1.5,0,0,1,FALSE,0.068,0.008,0,0.008,-0.008,-0.007,0.004,-0.004,0.004,-0.008,0.009,0.004,-0.004,0.004,-0.008,0.014,0.004,-0.004,0.004,-0.008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","binary",1,3,0,0,1.5,0,0,1,FALSE,0.057,-0.005,-0.001,-0.005,0.004,-0.018,-0.007,-0.003,-0.007,0.004,-0.003,-0.007,-0.003,-0.007,0.004,0.002,-0.007,-0.003,-0.007,0.004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","binary",1,3,0,0,1.5,0,0,1,FALSE,-0.067,0.064,0.064,0.064,0,-0.999,0.032,0.033,0.032,0.001,-0.998,0.033,0.033,0.033,0.001,-1,0.033,0.033,0.033,0.001,0.992,0.992,0.992,0.989,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","binary",1,3,0,0,1.5,0,0,1,FALSE,-0.076,0.04,0.037,0.04,-0.002,-1.002,0.019,0.017,0.019,-0.002,-1.002,0.019,0.017,0.019,-0.002,-1.002,0.019,0.017,0.019,-0.002,0.989,1,0.992,0.99,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","binary",1,3,0,0,1.5,0,0,1,FALSE,-0.014,0.033,0.029,0.032,-0.003,-0.994,0.02,0.016,0.02,-0.004,-0.993,0.02,0.016,0.02,-0.004,-0.994,0.02,0.016,0.02,-0.004,0.996,0.978,0.993,0.992,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","binary",1,3,0,0,1.5,0,0,1,FALSE,-0.028,0.015,0.016,0.015,0,-0.997,0.006,0.007,0.006,0,-0.998,0.006,0.007,0.006,0,-0.997,0.006,0.007,0.006,0,0.999,0.997,0.998,0.999,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","binary",1,3,0,0,1.5,0,0,1,FALSE,-0.038,0.012,0.015,0.012,0.004,-1,0.005,0.009,0.005,0.004,96211224224942.7,0.005,0.009,0.005,0.004,-1,0.005,0.009,0.005,0.004,1,0.742,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","binary",1,3,0,0,1.5,0,0,1,FALSE,-0.026,0.007,0.009,0.007,0.002,-1.001,0.002,0.004,0.002,0.001,62130433075871.3,0.002,0.004,0.002,0.002,-1.001,0.002,0.004,0.002,0.002,1,0.846,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","continuous",1,3,0,0,1.5,0,0,1,FALSE,-0.001,-0.001,0.001,-0.001,0.002,-0.001,-0.001,0.001,-0.001,0.002,-0.001,-0.001,0,-0.001,0.002,-0.001,-0.001,0.001,-0.001,0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","continuous",1,3,0,0,1.5,0,0,1,FALSE,0.005,0.005,0.001,0.005,-0.004,0.005,0.005,0.001,0.005,-0.004,0.006,0.005,0.001,0.005,-0.005,0.005,0.005,0.001,0.005,-0.004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","continuous",1,3,0,0,1.5,0,0,1,FALSE,-0.007,-0.007,0.002,-0.007,0.009,-0.007,-0.007,0.002,-0.007,0.009,-0.006,-0.006,0.002,-0.006,0.009,-0.007,-0.007,0.002,-0.007,0.009,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","continuous",1,3,0,0,1.5,0,0,1,FALSE,-0.001,-0.001,0.001,-0.001,0.002,-0.001,-0.001,0.001,-0.001,0.002,0,-0.001,0.001,-0.001,0.002,-0.001,-0.001,0.001,-0.001,0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","continuous",1,3,0,0,1.5,0,0,1,FALSE,-0.001,-0.001,0,-0.001,0.001,-0.001,-0.001,0,-0.001,0.001,-0.001,-0.001,0,-0.001,0.001,-0.001,-0.001,0,-0.001,0.001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","continuous",1,3,0,0,1.5,0,0,1,FALSE,-0.001,-0.001,0.001,-0.001,0.002,-0.001,-0.001,0.001,-0.001,0.002,-0.002,-0.001,0.001,-0.001,0.002,-0.001,-0.001,0.001,-0.001,0.002,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","binary",1,1,0,1,1.5,0,0,1,FALSE,0.036,0.034,-0.454,0.034,-0.488,-0.05,0.017,-0.479,0.017,-0.497,-0.05,0.018,-0.479,0.018,-0.497,-0.05,0.018,-0.479,0.018,-0.497,0.989,0.929,0.992,0.991,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","binary",1,1,0,1,1.5,0,0,1,FALSE,0.022,0.012,-0.475,0.012,-0.487,-0.064,0,-0.493,0,-0.493,-0.065,0,-0.493,0,-0.492,-0.064,0,-0.493,0,-0.493,0.997,0.921,0.999,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","binary",1,1,0,1,1.5,0,0,1,FALSE,0.033,0.024,-0.288,0.024,-0.311,-0.047,0.015,-0.301,0.015,-0.316,-0.044,0.015,-0.301,0.015,-0.316,-0.043,0.015,-0.301,0.015,-0.316,1,0.993,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","binary",1,1,0,1,1.5,0,0,1,FALSE,0.025,0.011,-0.303,0.011,-0.314,-0.056,0.004,-0.314,0.004,-0.318,-0.053,0.004,-0.314,0.004,-0.318,-0.052,0.004,-0.314,0.004,-0.318,1,0.998,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","binary",1,1,0,1,1.5,0,0,1,FALSE,0.024,0.013,-0.173,0.013,-0.186,-0.053,0.008,-0.18,0.008,-0.189,-0.048,0.008,-0.181,0.008,-0.189,-0.046,0.008,-0.181,0.008,-0.189,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","binary",1,1,0,1,1.5,0,0,1,FALSE,0.015,0.003,-0.181,0.003,-0.184,-0.062,-0.001,-0.187,-0.001,-0.186,-0.056,-0.001,-0.187,-0.001,-0.186,-0.055,-0.001,-0.187,-0.001,-0.186,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","binary",1,1,0,1,1.5,0,0,1,FALSE,0.002,0.032,-0.111,0.031,-0.143,-0.711,-0.017,-0.186,-0.017,-0.169,-0.708,-0.017,-0.186,-0.017,-0.169,-0.711,-0.017,-0.186,-0.017,-0.169,0.969,0.999,0.981,0.98,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","binary",1,1,0,1,1.5,0,0,1,FALSE,-0.006,0.016,-0.151,0.016,-0.168,-0.712,-0.028,-0.22,-0.028,-0.191,-0.711,-0.028,-0.219,-0.028,-0.191,-0.712,-0.028,-0.219,-0.028,-0.191,0.95,1,0.98,0.975,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","binary",1,1,0,1,1.5,0,0,1,FALSE,0.006,0.014,-0.071,0.014,-0.085,-0.699,-0.009,-0.109,-0.009,-0.1,-0.698,-0.008,-0.108,-0.008,-0.099,-0.699,-0.009,-0.108,-0.009,-0.099,0.941,1,0.987,0.988,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","binary",1,1,0,1,1.5,0,0,1,FALSE,-0.001,0.002,-0.087,0.002,-0.089,-0.704,-0.021,-0.123,-0.021,-0.103,-0.704,-0.021,-0.123,-0.021,-0.102,-0.704,-0.021,-0.123,-0.021,-0.102,0.905,1,0.996,0.997,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","binary",1,1,0,1,1.5,0,0,1,FALSE,-0.006,0.003,-0.045,0.003,-0.048,-0.696,-0.01,-0.066,-0.01,-0.056,-0.696,-0.01,-0.065,-0.01,-0.055,-0.696,-0.01,-0.065,-0.01,-0.055,0.975,0.962,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","binary",1,1,0,1,1.5,0,0,1,FALSE,-0.005,0,-0.044,0,-0.044,-0.701,-0.012,-0.064,-0.012,-0.051,-0.701,-0.012,-0.063,-0.012,-0.051,-0.701,-0.012,-0.063,-0.012,-0.051,0.993,0.986,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","continuous",1,1,0,1,1.5,0,0,1,FALSE,0.001,0.001,-0.491,0.001,-0.492,0.001,0.001,-0.491,0.001,-0.492,-0.001,0.001,-0.492,0.001,-0.492,0.001,0.001,-0.491,0.001,-0.492,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","continuous",1,1,0,1,1.5,0,0,1,FALSE,-0.003,-0.003,-0.49,-0.003,-0.487,-0.003,-0.003,-0.49,-0.003,-0.487,-0.001,-0.003,-0.49,-0.003,-0.487,-0.003,-0.003,-0.49,-0.003,-0.487,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","continuous",1,1,0,1,1.5,0,0,1,FALSE,-0.003,-0.003,-0.325,-0.003,-0.322,-0.003,-0.003,-0.325,-0.003,-0.322,-0.002,-0.002,-0.325,-0.002,-0.323,-0.003,-0.003,-0.325,-0.003,-0.322,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","continuous",1,1,0,1,1.5,0,0,1,FALSE,0.001,0.001,-0.325,0.001,-0.326,0.001,0.001,-0.325,0.001,-0.326,0.001,0.001,-0.325,0.001,-0.326,0.001,0.001,-0.325,0.001,-0.326,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","continuous",1,1,0,1,1.5,0,0,1,FALSE,-0.001,-0.001,-0.187,-0.001,-0.186,-0.001,-0.001,-0.187,-0.001,-0.186,-0.001,-0.001,-0.187,-0.001,-0.186,-0.001,-0.001,-0.187,-0.001,-0.186,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","continuous",1,1,0,1,1.5,0,0,1,FALSE,0.001,0.001,-0.191,0.001,-0.192,0.001,0.001,-0.191,0.001,-0.192,0,0.001,-0.192,0.001,-0.192,0.001,0.001,-0.191,0.001,-0.192,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"binary","binary",1,3,0,1,1.5,0,0,1,FALSE,0.112,0.04,-0.107,0.04,-0.146,-0.112,0.026,-0.135,0.026,-0.161,-0.112,0.026,-0.134,0.026,-0.16,-0.118,0.026,-0.134,0.026,-0.161,0.993,0.922,0.989,0.99,1,1,1,1,1,1,1,1,1,1,1
200,5,"binary","binary",1,3,0,1,1.5,0,0,1,FALSE,0.087,0.017,-0.117,0.018,-0.135,-0.128,0.005,-0.138,0.005,-0.143,-0.128,0.005,-0.138,0.005,-0.143,-0.134,0.005,-0.138,0.005,-0.143,0.996,0.952,0.997,0.998,1,1,1,1,1,1,1,1,1,1,1
100,10,"binary","binary",1,3,0,1,1.5,0,0,1,FALSE,0.035,0.007,-0.05,0.006,-0.056,-0.139,-0.002,-0.065,-0.002,-0.063,-0.137,-0.002,-0.065,-0.002,-0.063,-0.138,-0.002,-0.065,-0.002,-0.063,0.997,0.819,0.999,0.998,1,1,1,1,1,1,1,1,1,1,1
200,10,"binary","binary",1,3,0,1,1.5,0,0,1,FALSE,0.038,0.007,-0.061,0.007,-0.068,-0.135,0.001,-0.072,0.001,-0.073,-0.133,0.001,-0.072,0.001,-0.072,-0.134,0.001,-0.072,0.001,-0.072,1,0.804,1,1,1,1,1,1,1,1,1,1,1,1,1
100,20,"binary","binary",1,3,0,1,1.5,0,0,1,FALSE,0.063,0.018,-0.031,0.018,-0.05,-0.125,0.014,-0.039,0.014,-0.053,-0.118,0.014,-0.039,0.014,-0.053,-0.114,0.014,-0.039,0.014,-0.053,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,20,"binary","binary",1,3,0,1,1.5,0,0,1,FALSE,0.05,0.004,-0.033,0.004,-0.037,-0.139,0.001,-0.038,0.001,-0.039,-0.133,0.001,-0.038,0.001,-0.039,-0.13,0.001,-0.038,0.001,-0.039,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,5,"continuous","binary",1,3,0,1,1.5,0,0,1,FALSE,-0.19,0.082,0.112,0.082,0.029,-1.186,0.013,0,0.013,-0.014,-1.186,0.013,0.001,0.013,-0.013,-1.186,0.014,0.001,0.014,-0.013,0.983,0.859,0.989,0.99,1,1,1,1,1,1,1,1,1,1,1
200,5,"continuous","binary",1,3,0,1,1.5,0,0,1,FALSE,-0.213,0.041,0.033,0.041,-0.009,-1.186,-0.013,-0.055,-0.013,-0.041,-1.186,-0.013,-0.054,-0.013,-0.041,-1.186,-0.013,-0.054,-0.013,-0.041,0.975,0.823,0.982,0.981,1,1,1,1,1,1,1,1,1,1,1
100,10,"continuous","binary",1,3,0,1,1.5,0,0,1,FALSE,-0.089,0.038,0.055,0.038,0.016,-1.185,0.009,0.006,0.009,-0.003,24151999057349.4,0.009,0.006,0.009,-0.003,-1.185,0.009,0.006,0.009,-0.003,0.976,0.813,0.981,0.982,1,1,1,1,1,1,1,1,1,1,1
200,10,"continuous","binary",1,3,0,1,1.5,0,0,1,FALSE,-0.115,0.011,0.013,0.01,0.002,-1.188,-0.014,-0.028,-0.014,-0.014,7410106968455.17,-0.014,-0.027,-0.014,-0.014,-1.188,-0.013,-0.027,-0.013,-0.014,0.964,0.719,0.993,0.987,1,1,1,1,1,1,1,1,1,1,1
100,20,"continuous","binary",1,3,0,1,1.5,0,0,1,FALSE,-0.048,0.013,0.017,0.013,0.004,-1.188,-0.001,-0.007,-0.001,-0.006,73863842530451.5,-0.001,-0.007,-0.001,-0.006,-1.188,-0.001,-0.007,-0.001,-0.006,0.953,0.869,0.999,0.999,1,1,1,1,1,1,1,1,1,1,1
200,20,"continuous","binary",1,3,0,1,1.5,0,0,1,FALSE,-0.049,0.008,0.009,0.008,0.001,-1.187,-0.005,-0.012,-0.005,-0.007,21307317249531.7,-0.005,-0.012,-0.005,-0.007,-1.187,-0.005,-0.012,-0.005,-0.007,0.94,0.915,0.998,0.998,1,1,1,1,1,1,1,1,1,1,1
